LR [01:09:25] perf: step 500/30000 (1.7%), 0.60 s/step avg, 6827 tokens/s, ETA 4.9 h, train CE 6.787, val CE 6.947, code temperature 0.983
LR [01:14:25] perf: step 1000/30000 (3.3%), 0.60 s/step avg, last window 0.60 s/step, 6827 tokens/s, ETA 4.8 h, train CE 6.717, val CE 6.546, code temperature 0.967
LR [01:19:25] perf: step 1750/30000 (5.8%), 0.51 s/step avg, last window 0.40 s/step, 7964 tokens/s, ETA 4.0 h, train CE 6.594, val CE 6.231, code temperature 0.942
LR [01:24:25] perf: step 2250/30000 (7.5%), 0.53 s/step avg, last window 0.60 s/step, 7680 tokens/s, ETA 4.1 h, train CE 6.138, val CE 6.144, code temperature 0.925
LR [01:29:25] perf: step 3000/30000 (10.0%), 0.50 s/step avg, last window 0.40 s/step, 8192 tokens/s, ETA 3.8 h, train CE 5.845, val CE 6.025, code temperature 0.900
LR [01:34:25] perf: step 3500/30000 (11.7%), 0.51 s/step avg, last window 0.60 s/step, 7964 tokens/s, ETA 3.8 h, train CE 5.717, val CE 5.996, code temperature 0.883
LR [01:39:25] perf: step 4250/30000 (14.2%), 0.49 s/step avg, last window 0.40 s/step, 8289 tokens/s, ETA 3.5 h, train CE 5.558, val CE 5.900, code temperature 0.858
LR [01:44:25] perf: step 4750/30000 (15.8%), 0.51 s/step avg, last window 0.60 s/step, 8107 tokens/s, ETA 3.5 h, train CE 5.869, val CE 5.895, code temperature 0.842
LR [01:49:25] perf: step 5500/30000 (18.3%), 0.49 s/step avg, last window 0.40 s/step, 8344 tokens/s, ETA 3.3 h, train CE 5.825, val CE 5.823, code temperature 0.817
LR [01:54:25] perf: step 6000/30000 (20.0%), 0.50 s/step avg, last window 0.60 s/step, 8192 tokens/s, ETA 3.3 h, train CE 5.766, val CE 5.836, code temperature 0.800
LR [01:59:25] perf: step 6750/30000 (22.5%), 0.49 s/step avg, last window 0.40 s/step, 8378 tokens/s, ETA 3.2 h, train CE 5.875, val CE 5.753, code temperature 0.775
LR [02:04:25] perf: step 7250/30000 (24.2%), 0.50 s/step avg, last window 0.60 s/step, 8249 tokens/s, ETA 3.1 h, train CE 5.839, val CE 5.744, code temperature 0.758
LR [02:09:25] perf: step 8000/30000 (26.7%), 0.49 s/step avg, last window 0.40 s/step, 8402 tokens/s, ETA 3.0 h, train CE 5.680, val CE 5.718, code temperature 0.733
LR [02:14:25] perf: step 8500/30000 (28.3%), 0.49 s/step avg, last window 0.60 s/step, 8289 tokens/s, ETA 3.0 h, train CE 5.548, val CE 5.689, code temperature 0.717
LR [02:19:25] perf: step 9250/30000 (30.8%), 0.49 s/step avg, last window 0.40 s/step, 8419 tokens/s, ETA 2.8 h, train CE 5.429, val CE 5.697, code temperature 0.692
LR [02:24:25] perf: step 9750/30000 (32.5%), 0.49 s/step avg, last window 0.60 s/step, 8320 tokens/s, ETA 2.8 h, train CE 5.743, val CE 5.714, code temperature 0.675
LR [02:29:25] perf: step 10500/30000 (35.0%), 0.49 s/step avg, last window 0.40 s/step, 8433 tokens/s, ETA 2.6 h, train CE 5.594, val CE 5.680, code temperature 0.650
LR [02:34:25] perf: step 11000/30000 (36.7%), 0.49 s/step avg, last window 0.60 s/step, 8344 tokens/s, ETA 2.6 h, train CE 5.404, val CE 5.656, code temperature 0.633
LR [02:39:25] perf: step 11750/30000 (39.2%), 0.49 s/step avg, last window 0.40 s/step, 8443 tokens/s, ETA 2.5 h, train CE 5.626, val CE 5.622, code temperature 0.608
LR [02:44:25] perf: step 12250/30000 (40.8%), 0.49 s/step avg, last window 0.60 s/step, 8363 tokens/s, ETA 2.4 h, train CE 5.573, val CE 5.650, code temperature 0.592
LR [02:49:25] perf: step 12750/30000 (42.5%), 0.49 s/step avg, last window 0.60 s/step, 8289 tokens/s, ETA 2.4 h, train CE 5.530, val CE 5.611, code temperature 0.575
LR [02:54:25] perf: step 13500/30000 (45.0%), 0.49 s/step avg, last window 0.40 s/step, 8378 tokens/s, ETA 2.2 h, train CE 5.802, val CE 5.617, code temperature 0.550
LR [02:59:25] perf: step 14000/30000 (46.7%), 0.49 s/step avg, last window 0.60 s/step, 8311 tokens/s, ETA 2.2 h, train CE 5.214, val CE 5.591, code temperature 0.533
LR [03:04:25] perf: step 14750/30000 (49.2%), 0.49 s/step avg, last window 0.40 s/step, 8391 tokens/s, ETA 2.1 h, train CE 5.603, val CE 5.616, code temperature 0.508
LR [03:09:25] perf: step 15250/30000 (50.8%), 0.49 s/step avg, last window 0.60 s/step, 8328 tokens/s, ETA 2.0 h, train CE 5.443, val CE 5.618, code temperature 0.492
